ID,URL,Phrase,HasPhrase,Negated,HandsVisible,HandsFree,SpeakerName,Duplicated,ExtraMod,HandsMoving,WhichHand,HandConfig,HandSpecific,HorizontalMovement,HandGap,OfInterest,Comments
157,https://archive.org/download/BBCNEWS_20191128_213000_Brexitcast/BBCNEWS_20191128_213000_Brexitcast.mp4?t=630/700&ignore=x.mp4,huge_number,yes,no,neither,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA
2096,https://archive.org/download/BLOOMBERG_20150511_140000_Bloomberg_Markets/BLOOMBERG_20150511_140000_Bloomberg_Markets.mp4?t=1497/1567&ignore=x.mp4,tiny_number,yes,no,both,one,eric schatzker,no,no,no,NA,NA,NA,NA,NA,no,post-stroke hold
2542,https://archive.org/download/BBCNEWS_20181209_050000_BBC_News/BBCNEWS_20181209_050000_BBC_News.mp4?t=211/281&ignore=x.mp4,small_number,yes,no,neither,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA
1084,https://archive.org/download/BLOOMBERG_20150923_003000_Bloomberg_West/BLOOMBERG_20150923_003000_Bloomberg_West.mp4?t=1059/1129&ignore=x.mp4,small_number,yes,no,neither,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA
2415,https://archive.org/download/SFGTV_20120128_081800/SFGTV_20120128_081800.mp4?t=1311/1381&ignore=x.mp4,huge_number,yes,no,one,one,NA,no,no,no,NA,NA,NA,NA,NA,no,NA
2497,https://archive.org/download/BBCNEWS_20180614_160000_BBC_News_at_Five/BBCNEWS_20180614_160000_BBC_News_at_Five.mp4?t=518/588&ignore=x.mp4,large_number,yes,no,both,both,reeta chakrabati,no,no,yes,both,open,up,out,head_less,no,difficult to discern
2960,https://archive.org/download/CSPAN3_20151014_000000_The_Civil_War/CSPAN3_20151014_000000_The_Civil_War.mp4?t=1903/1973&ignore=x.mp4,small_number,yes,no,neither,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA
342,https://archive.org/download/WSVN_20160228_230000_Channel_7_Weekend_News_at_6PM/WSVN_20160228_230000_Channel_7_Weekend_News_at_6PM.mp4?t=547/617&ignore=x.mp4,large_number,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA
2496,https://archive.org/download/DW_20180719_173000_Eco-at-Africa_-_The_Environment_Magazine/DW_20180719_173000_Eco-at-Africa_-_The_Environment_Magazine.mp4?t=1101/1171&ignore=x.mp4,large_number,yes,no,neither,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA
159,https://archive.org/download/WPLG_20160122_053700_Nightline/WPLG_20160122_053700_Nightline.mp4?t=366/436&ignore=x.mp4,small_number,yes,no,neither,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA
3015,https://archive.org/download/CNBC_20120903_160000_60_Minutes_on_CNBC/CNBC_20120903_160000_60_Minutes_on_CNBC.mp4?t=139/209&ignore=x.mp4,huge_number,yes,no,both,both,steve croft,no,no,no,NA,NA,NA,NA,NA,no,NA
197,https://archive.org/download/CSPAN3_20120309_193000/CSPAN3_20120309_193000.mp4?t=977/1047&ignore=x.mp4,large_number,yes,no,neither,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA
561,https://archive.org/download/CNNW_20160111_000000_CNN_Newsroom_With_Poppy_Harlow/CNNW_20160111_000000_CNN_Newsroom_With_Poppy_Harlow.mp4?t=1568/1638&ignore=x.mp4,tiny_number,yes,no,neither,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA
2402,http://archive.org/download/CSPAN_20120829_110000_Washington_Journal/CSPAN_20120829_110000_Washington_Journal.mp4?t=1834/1864&ignore=x.mp4,huge_number,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA
410,https://archive.org/download/BBCNEWS_20180216_054500_The_Briefing/BBCNEWS_20180216_054500_The_Briefing.mp4?t=326/396&ignore=x.mp4,huge_number,yes,no,both,both,andrew tuck,no,no,yes,both,open,in,out/in,head_less,no,NA
2825,https://archive.org/download/WMUR_20160228_150000_Closeup/WMUR_20160228_150000_Closeup.mp4?t=1133/1203&ignore=x.mp4,huge_number,yes,no,neither,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA
1248,https://archive.org/download/FBC_20161016_133000_Wall_Street_Week/FBC_20161016_133000_Wall_Street_Week.mp4?t=208/278&ignore=x.mp4,huge_number,yes,no,neither,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA
2316,https://archive.org/download/RT_20131015_060000_Headline_News/RT_20131015_060000_Headline_News.mp4?t=1329/1399&ignore=x.mp4,small_number,yes,no,both,both,thabang motsei,no,no,yes,both,open,in,neither,torso_less,no,outward movement is from rest position
2335,http://archive.org/download/MSNBC_20101210_030000_The_Last_Word/MSNBC_20101210_030000_The_Last_Word.mp4?t=1578/1608&ignore=x.mp4,huge_number,yes,no,both,both,rabbi michael lerner,no,no,yes,both,closed,fist,neither,torso_less,no,could be head_less
2809,https://archive.org/download/MSNBCW_20151030_190000_MSNBC_Live_With_Kate_Snow/MSNBCW_20151030_190000_MSNBC_Live_With_Kate_Snow.mp4?t=36/106&ignore=x.mp4,small_number,yes,no,neither,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA
1864,https://archive.org/download/RT_20130604_190000_Headline_News/RT_20130604_190000_Headline_News.mp4?t=739/809&ignore=x.mp4,large_number,yes,no,both,both/oneobject,bill dod,no,no,no,NA,NA,NA,NA,NA,no,NA
2741,https://archive.org/download/ALJAZ_20180830_130000_NEWSHOUR/ALJAZ_20180830_130000_NEWSHOUR.mp4?t=131/201&ignore=x.mp4,huge_number,yes,no,neither,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA
2374,https://archive.org/download/ALJAZAM_20150205_063000_Inside_Story/ALJAZAM_20150205_063000_Inside_Story.mp4?t=1255/1325&ignore=x.mp4,large_number,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA
1694,https://archive.org/download/RT_20101228_160000/RT_20101228_160000.mp4?t=862/932&ignore=x.mp4,huge_number,yes,no,neither,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA
174,https://archive.org/download/CSPAN_20171128_055100_President_Trump_Hosts_Native_American_Code_Talkers/CSPAN_20171128_055100_President_Trump_Hosts_Native_American_Code_Talkers.mp4?t=927/997&ignore=x.mp4,small_number,yes,no,both,both,john kelly,no,no,yes,both,open,in,out,head_less,no,NA
2243,https://archive.org/download/LINKTV_20141103_223000_France_24/LINKTV_20141103_223000_France_24.mp4?t=473/543&ignore=x.mp4,small_number,yes,no,both,both,richard gill,no,no,no,NA,NA,NA,NA,NA,no,NA
460,https://archive.org/download/WEWS_20161201_230000_News_5_at_6pm/WEWS_20161201_230000_News_5_at_6pm.mp4?t=851/921&ignore=x.mp4,small_number,yes,no,neither,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA
3166,https://archive.org/download/LINKTV_20150130_133000_France_24/LINKTV_20150130_133000_France_24.mp4?t=256/326&ignore=x.mp4,large_number,yes,no,neither,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA
1266,http://archive.org/download/WMAR_20110905_220000_ABC2_News_at_6PM/WMAR_20110905_220000_ABC2_News_at_6PM.mp4?t=549/579&ignore=x.mp4,huge_number,yes,no,neither,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA
657,https://archive.org/download/WTMJ_20161004_100000_Todays_TMJ4_News_Live_at_Daybreak_Early_Edition_I/WTMJ_20161004_100000_Todays_TMJ4_News_Live_at_Daybreak_Early_Edition_I.mp4?t=672/742&ignore=x.mp4,large_number,yes,no,neither,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA
2025,https://archive.org/download/WMPT_20110111_170000_Tavis_Smiley/WMPT_20110111_170000_Tavis_Smiley.mp4?t=485/555&ignore=x.mp4,huge_number,yes,no,both,both,jeff bridges,no,no,no,NA,NA,NA,NA,NA,no,NA
1243,https://archive.org/download/ALJAZ_20180215_003200_Inside_Story_2018_Ep__45/ALJAZ_20180215_003200_Inside_Story_2018_Ep__45.mp4?t=1170/1240&ignore=x.mp4,huge_number,yes,no,neither,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA
2297,https://archive.org/download/ALJAZAM_20140511_170000_News/ALJAZAM_20140511_170000_News.mp4?t=109/179&ignore=x.mp4,small_number,yes,no,neither,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA
2864,http://archive.org/download/LINKTV_20150707_150000_Democracy_Now/LINKTV_20150707_150000_Democracy_Now.mp4?t=3116/3146&ignore=x.mp4,tiny_number,yes,no,both,both,richard wolff,yes,NA,NA,NA,NA,NA,NA,NA,no,NA
2909,https://archive.org/download/KQED_20160611_030000_KQED_Newsroom/KQED_20160611_030000_KQED_Newsroom.mp4?t=1222/1292&ignore=x.mp4,tiny_number,yes,no,both,both,lonny shavelson,no,no,yes,R,closed,pinch,NA,NA,yes,NA
